<strong>ID</strong><strong>	ORF</strong><strong>	RANGE_GB</strong><strong>	GeneSymbol</strong><strong>	GeneType</strong><strong>	RANGE_START</strong><strong>	RANGE_END</strong><strong>	RANGE_STRAND</strong>
826	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU05970[gene]">BSU05970</a>	AL009126.3	rex		647091	647738	1
827	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU05980[gene]">BSU05980</a>	AL009126.3	tatAY		647760	647933	1
828	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU05990[gene]">BSU05990</a>	AL009126.3	tatCY		647940	648704	1
829	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU06000[gene]">BSU06000</a>	AL009126.3	ydiK		648742	648933	-1
830	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU06010[gene]">BSU06010</a>	AL009126.3	ydiL		648930	649664	-1
831	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=[gene]"></a>	AL009126.3	S207	5'UTR	649718	649826	1
832	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=[gene]"></a>	AL009126.3	S208	5'UTR	649828	649902	1
833	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU06020[gene]">BSU06020</a>	AL009126.3	groES		649903	650187	1
834	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU06030[gene]">BSU06030</a>	AL009126.3	groEL		650234	651868	1
835	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=[gene]"></a>	AL009126.3	S209	3'UTR	651869	651961	1
836	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=[gene]"></a>	AL009126.3	S210	Inter	651963	653431	1
837	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU06033[gene]">BSU06033</a>	AL009126.3	ydzT		651977	652084	-1
838	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU06034[gene]">BSU06034</a>	AL009126.3	ydzT		652087	652245	-1
839	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU06036[gene]">BSU06036</a>	AL009126.3	ydzT		652290	652418	-1
840	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU06037[gene]">BSU06037</a>	AL009126.3	ydzT		652511	652720	-1
841	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU06038[gene]">BSU06038</a>	AL009126.3	ydzT		652713	653018	-1
842	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU06040[gene]">BSU06040</a>	AL009126.3	ydiM		653432	653812	1
843	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=[gene]"></a>	AL009126.3	S211	Intra	653813	654070	1
844	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU06048[gene]">BSU06048</a>	AL009126.3	ydzU		654071	654343	1
845	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU06049[gene]">BSU06049</a>	AL009126.3	ydzV		654333	654692	1
846	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=[gene]"></a>	AL009126.3	S212	Inter	654693	655136	1
847	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=[gene]"></a>	AL009126.3	S213	5'UTR	655138	655222	1
848	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU06060[gene]">BSU06060</a>	AL009126.3	ydiO		655223	656506	1
849	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU06070[gene]">BSU06070</a>	AL009126.3	ydiP		656528	657697	1
850	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU06073[gene]">BSU06073</a>	AL009126.3	ydzW		657793	658062	-1
851	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU06074[gene]">BSU06074</a>	AL009126.3	ydzW		658061	658189	-1
852	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU06076[gene]">BSU06076</a>	AL009126.3	ydzW		658189	658605	-1
853	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=[gene]"></a>	AL009126.3	S214	Indep-NT	658495	658899	1
854	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU06077[gene]">BSU06077</a>	AL009126.3	ydzW		658615	658758	-1
855	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU06078[gene]">BSU06078</a>	AL009126.3	ydzW		658813	659010	-1
856	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU06079[gene]">BSU06079</a>	AL009126.3	ydzW		659010	659129	-1
857	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU06083[gene]">BSU06083</a>	AL009126.3	ydzW		659129	659221	-1
858	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=[gene]"></a>	AL009126.3	S215	5'UTR	659222	659341	-1
859	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=[gene]"></a>	AL009126.3	S216	5'UTR	659343	659558	-1
860	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU06090[gene]">BSU06090</a>	AL009126.3	ydiR		659623	660564	1
861	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU06100[gene]">BSU06100</a>	AL009126.3	ydiS		660596	661627	1
862	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU06110[gene]">BSU06110</a>	AL009126.3	ydjA		661630	663027	1
863	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=[gene]"></a>	AL009126.3	S217	3'UTR	663028	663224	1
864	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=[gene]"></a>	AL009126.3	S218	Inter	663288	663600	1
865	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU06120[gene]">BSU06120</a>	AL009126.3	ydjB		663601	663936	1
866	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=[gene]"></a>	AL009126.3	S219	Intra	663937	664318	1
867	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU06130[gene]">BSU06130</a>	AL009126.3	ydjC		664319	664669	1
868	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU06140[gene]">BSU06140</a>	AL009126.3	gutR		664775	667264	-1
869	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=[gene]"></a>	AL009126.3	S220	5'UTR	667383	667465	1
870	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU06150[gene]">BSU06150</a>	AL009126.3	gutB		667466	668527	1
871	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU06160[gene]">BSU06160</a>	AL009126.3	gutP		668601	669992	1
872	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU06170[gene]">BSU06170</a>	AL009126.3	ydjE		670087	671049	1
873	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU06180[gene]">BSU06180</a>	AL009126.3	pspA		671245	671928	1
874	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=[gene]"></a>	AL009126.3	S221	Intra	671929	671993	1
875	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU06190[gene]">BSU06190</a>	AL009126.3	ydjG		671994	673019	1
876	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU06200[gene]">BSU06200</a>	AL009126.3	ydjH		673019	673783	1
877	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU06210[gene]">BSU06210</a>	AL009126.3	ydjI		673814	674785	1
878	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU06220[gene]">BSU06220</a>	AL009126.3	ydjJ		674832	675857	-1
879	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=[gene]"></a>	AL009126.3	S222	5'UTR	676139	676441	1
880	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU06230[gene]">BSU06230</a>	AL009126.3	iolT		676442	677863	1
881	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU06240[gene]">BSU06240</a>	AL009126.3	bdhA		677911	678951	-1
882	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=[gene]"></a>	AL009126.3	S223	5'UTR	678515	679050	1
883	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=[gene]"></a>	AL009126.3	S224	5'UTR	678952	679246	-1
884	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=[gene]"></a>	AL009126.3	S225	5'UTR	679052	679349	1
885	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU06250[gene]">BSU06250</a>	AL009126.3	ydjM		679390	679761	1
886	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU06260[gene]">BSU06260</a>	AL009126.3	ydjN		679827	680873	1
887	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU06269[gene]">BSU06269</a>	AL009126.3	ydzJ		680907	681065	-1
888	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=[gene]"></a>	AL009126.3	S226	3'UTR	681122	681254	-1
889	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU06270[gene]">BSU06270</a>	AL009126.3	ydjO		681255	681464	-1
890	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU06280[gene]">BSU06280</a>	AL009126.3	ydjP		681547	682362	-1
891	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU06290[gene]">BSU06290</a>	AL009126.3	yeaA		682375	683364	-1
892	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU06300[gene]">BSU06300</a>	AL009126.3	cotA		683462	685003	-1
893	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU06310[gene]">BSU06310</a>	AL009126.3	gabP		685155	686564	-1
894	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU06319[gene]">BSU06319</a>	AL009126.3	ydzX		686602	686889	-1
895	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU06320[gene]">BSU06320</a>	AL009126.3	yeaB		686962	687834	1
896	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU06330[gene]">BSU06330</a>	AL009126.3	yeaC		688184	689146	1
897	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU06340[gene]">BSU06340</a>	AL009126.3	yeaD		689146	690342	1
898	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU06350[gene]">BSU06350</a>	AL009126.3	yebA		690364	692577	1
899	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=[gene]"></a>	AL009126.3	S227	5'UTR	692610	692739	1
900	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU06360[gene]">BSU06360</a>	AL009126.3	guaA		692740	694281	1
901	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=[gene]"></a>	AL009126.3			694425	694527	1
902	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU06370[gene]">BSU06370</a>	AL009126.3	pbuG		694662	695984	1
903	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=[gene]"></a>	AL009126.3	S228	5'UTR	696054	696194	1
904	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU06380[gene]">BSU06380</a>	AL009126.3	yebC		696195	696998	1
905	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=[gene]"></a>	AL009126.3	S229	5'UTR	697093	697156	1
906	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU06390[gene]">BSU06390</a>	AL009126.3	yebD		697157	697324	1
907	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=[gene]"></a>	AL009126.3	S230	5'UTR	697399	697485	1
908	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU06400[gene]">BSU06400</a>	AL009126.3	yebE		697538	698092	1
909	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU06410[gene]">BSU06410</a>	AL009126.3	yebG		698092	698289	1
910	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=[gene]"></a>	AL009126.3			698369	698471	1
911	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=[gene]"></a>	AL009126.3	S231	Intra	698472	698611	1
912	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU06420[gene]">BSU06420</a>	AL009126.3	purE		698612	699100	1
913	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU06430[gene]">BSU06430</a>	AL009126.3	purK		699093	700235	1
914	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU06440[gene]">BSU06440</a>	AL009126.3	purB		700232	701527	1
915	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU06450[gene]">BSU06450</a>	AL009126.3	purC		701601	702326	1
916	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU06460[gene]">BSU06460</a>	AL009126.3	purS		702319	702573	1
917	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU06470[gene]">BSU06470</a>	AL009126.3	purQ		702570	703253	1
918	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU06480[gene]">BSU06480</a>	AL009126.3	purL		703237	705465	1
919	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU06490[gene]">BSU06490</a>	AL009126.3	purF		705441	706871	1
920	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=[gene]"></a>	AL009126.3	S232	Intra	706872	706972	1
921	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU06500[gene]">BSU06500</a>	AL009126.3	purM		706973	708013	1
922	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU06510[gene]">BSU06510</a>	AL009126.3	purN		708010	708597	1
923	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU06520[gene]">BSU06520</a>	AL009126.3	purH		708594	710132	1
924	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU06530[gene]">BSU06530</a>	AL009126.3	purD		710148	711416	1
925	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU06540[gene]">BSU06540</a>	AL009126.3	yezC		711456	711875	-1
926	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU06550[gene]">BSU06550</a>	AL009126.3	yecA		712019	713293	1
927	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU06559[gene]">BSU06559</a>	AL009126.3	yezF		713308	713535	-1
928	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=[gene]"></a>	AL009126.3	S233	5'UTR	713536	713956	-1
929	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU06560[gene]">BSU06560</a>	AL009126.3	yerA		713664	715406	1
930	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU06570[gene]">BSU06570</a>	AL009126.3	yerB		715433	716428	1
931	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU06580[gene]">BSU06580</a>	AL009126.3	yerC		716431	716745	1
932	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU06590[gene]">BSU06590</a>	AL009126.3	yerD		716780	718357	-1
933	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU06600[gene]">BSU06600</a>	AL009126.3	pcrB		718622	719308	1
934	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU06610[gene]">BSU06610</a>	AL009126.3	pcrA		719370	721589	1
935	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU06620[gene]">BSU06620</a>	AL009126.3	ligA		721613	723619	1
936	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU06630[gene]">BSU06630</a>	AL009126.3	yerH		723635	724825	1
937	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=[gene]"></a>	AL009126.3	S234	5'UTR	724870	724986	1
938	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU06640[gene]">BSU06640</a>	AL009126.3	yerI		724987	725997	1
939	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=[gene]"></a>	AL009126.3	S235	Indep-NT	726024	726828	1
940	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU06650[gene]">BSU06650</a>	AL009126.3	sapB		726035	726733	-1
941	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU06660[gene]">BSU06660</a>	AL009126.3	opuE		726840	728318	-1
942	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=[gene]"></a>	AL009126.3	S236	5'UTR	728319	728449	-1
943	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=[gene]"></a>	AL009126.3	S237	5'UTR	728598	728731	1
944	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU06670[gene]">BSU06670</a>	AL009126.3	gatC		728732	729022	1
945	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU06680[gene]">BSU06680</a>	AL009126.3	gatA		729038	730495	1
946	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU06690[gene]">BSU06690</a>	AL009126.3	gatB		730509	731939	1
947	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU06700[gene]">BSU06700</a>	AL009126.3	yerO		731954	732823	-1
948	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=[gene]"></a>	AL009126.3	S238	5'UTR	732824	732898	-1
949	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU06710[gene]">BSU06710</a>	AL009126.3	swrC		732916	736113	1
950	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU06720[gene]">BSU06720</a>	AL009126.3	dagK		736436	737347	1
951	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=[gene]"></a>	AL009126.3	S239	Intra	737348	737602	1
952	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU06730[gene]">BSU06730</a>	AL009126.3	yefA		737603	738982	1
953	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=[gene]"></a>	AL009126.3	S240	3'UTR	738983	739575	1
954	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU06740[gene]">BSU06740</a>	AL009126.3	yefB		738995	739897	-1
955	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=[gene]"></a>	AL009126.3	S241	Inter	739577	739877	1
956	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU06750[gene]">BSU06750</a>	AL009126.3	yefC		739878	740213	1
957	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=[gene]"></a>	AL009126.3	S242	Intra	740214	740287	1
958	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU06760[gene]">BSU06760</a>	AL009126.3	yeeA		740288	742927	1
959	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU06770[gene]">BSU06770</a>	AL009126.3	yeeB		742939	744738	1
960	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=[gene]"></a>	AL009126.3	S243	Intra	744739	744850	1
961	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU06780[gene]">BSU06780</a>	AL009126.3	yeeC		744851	745999	1
962	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=[gene]"></a>	AL009126.3	S244	3'NT	746000	747189	1
963	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU06790[gene]">BSU06790</a>	AL009126.3	yeeD		746261	746566	-1
964	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU06800[gene]">BSU06800</a>	AL009126.3	yezA		746633	746839	-1
965	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU06811[gene]">BSU06811</a>	AL009126.3	yezG		747079	747534	-1
966	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU06812[gene]">BSU06812</a>	AL009126.3	yeeF		747554	749563	-1
967	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU06820[gene]">BSU06820</a>	AL009126.3	yeeG		749775	750797	1
968	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU06830[gene]">BSU06830</a>	AL009126.3	rapH		750959	752089	1
969	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU06839[gene]">BSU06839</a>	AL009126.3	phrH		752079	752252	1
970	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=[gene]"></a>	AL009126.3	S245	Inter	752253	752357	1
971	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU06840[gene]">BSU06840</a>	AL009126.3	yeeI		752412	753131	1
972	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU06850[gene]">BSU06850</a>	AL009126.3	yeeK		753265	753702	1
973	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU06860[gene]">BSU06860</a>	AL009126.3	yezE		753817	754401	1
974	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU06870[gene]">BSU06870</a>	AL009126.3	yesE		754480	754923	1
975	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU06880[gene]">BSU06880</a>	AL009126.3	yesF		754920	755780	1
976	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU06890[gene]">BSU06890</a>	AL009126.3	cotJA		755907	756155	1
977	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU06900[gene]">BSU06900</a>	AL009126.3	cotJB		756139	756402	1
978	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU06910[gene]">BSU06910</a>	AL009126.3	cotJC		756417	756986	1
979	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=[gene]"></a>	AL009126.3	S246	Inter	756987	757065	1
980	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU06920[gene]">BSU06920</a>	AL009126.3	yesJ		757111	757653	1
981	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU06930[gene]">BSU06930</a>	AL009126.3	yesK		757676	757978	1
982	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU06940[gene]">BSU06940</a>	AL009126.3	yesL		758093	758722	1
983	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU06950[gene]">BSU06950</a>	AL009126.3	yesM		758719	760452	1
984	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU06960[gene]">BSU06960</a>	AL009126.3	yesN		760452	761558	1
985	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU06970[gene]">BSU06970</a>	AL009126.3	yesO		761662	762945	1
986	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU06980[gene]">BSU06980</a>	AL009126.3	yesP		762942	763871	1
987	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU06990[gene]">BSU06990</a>	AL009126.3	yesQ		763875	764765	1
988	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU07000[gene]">BSU07000</a>	AL009126.3	yesR		764781	765815	1
989	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU07010[gene]">BSU07010</a>	AL009126.3	yesS		765838	768123	1
990	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU07020[gene]">BSU07020</a>	AL009126.3	rhgT		768137	768835	1
991	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU07030[gene]">BSU07030</a>	AL009126.3	yesU		768828	769490	1
992	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU07040[gene]">BSU07040</a>	AL009126.3	yesV		769487	770113	1
993	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU07050[gene]">BSU07050</a>	AL009126.3	yesW		770234	772096	1
994	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU07060[gene]">BSU07060</a>	AL009126.3	yesX		772142	773980	1
995	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU07070[gene]">BSU07070</a>	AL009126.3	yesY		774138	774791	1
996	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU07080[gene]">BSU07080</a>	AL009126.3	yesZ		774799	776790	1
997	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU07090[gene]">BSU07090</a>	AL009126.3	yetA		776834	779407	1
998	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU07100[gene]">BSU07100</a>	AL009126.3	lplA		779529	781037	1
999	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU07110[gene]">BSU07110</a>	AL009126.3	lplB		781092	782048	1
1000	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU07120[gene]">BSU07120</a>	AL009126.3	lplC		782062	782949	1
1001	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU07130[gene]">BSU07130</a>	AL009126.3	lplD		782958	784298	1
1002	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=[gene]"></a>	AL009126.3	S247	3'PT	783392	785083	-1
1003	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=[gene]"></a>	AL009126.3	S248	Intra	784299	784380	1
1004	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU07140[gene]">BSU07140</a>	AL009126.3	yetF		784381	785076	1
1005	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU07150[gene]">BSU07150</a>	AL009126.3	yetG		785113	785490	-1
1006	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU07160[gene]">BSU07160</a>	AL009126.3	yetH		785543	785905	-1
1007	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=[gene]"></a>	AL009126.3	S249	Indep	785976	786536	-1
1008	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU07170[gene]">BSU07170</a>	AL009126.3	yetI		786689	787264	1
1009	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU07180[gene]">BSU07180</a>	AL009126.3	yetI		787264	787560	1
1010	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU07190[gene]">BSU07190</a>	AL009126.3	yezD		787715	787882	1
1011	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU07200[gene]">BSU07200</a>	AL009126.3	yetJ		787992	788636	1
1012	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU07210[gene]">BSU07210</a>	AL009126.3	yetK		788636	789628	1
1013	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU07220[gene]">BSU07220</a>	AL009126.3	yetL		789652	790155	-1
1014	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU07230[gene]">BSU07230</a>	AL009126.3	yetM		790318	791427	1
1015	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU07240[gene]">BSU07240</a>	AL009126.3	yetN		791462	792532	-1
1016	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU07250[gene]">BSU07250</a>	AL009126.3	yetO		792682	795867	1
1017	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=[gene]"></a>	AL009126.3	S250	5'UTR	796008	796313	1
1018	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU07260[gene]">BSU07260</a>	AL009126.3	ltaSA		796314	798233	1
1019	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=[gene]"></a>	AL009126.3	S251	5'UTR	798340	798468	1
1020	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU07270[gene]">BSU07270</a>	AL009126.3	yfnH		798469	799233	1
1021	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU07280[gene]">BSU07280</a>	AL009126.3	yfnG		799303	800208	1
1022	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU07290[gene]">BSU07290</a>	AL009126.3	yfnF		800232	801143	1
1023	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU07300[gene]">BSU07300</a>	AL009126.3	yfnE		801172	802350	1
1024	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU07310[gene]">BSU07310</a>	AL009126.3	yfnD		802351	803286	1
1025	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU07320[gene]">BSU07320</a>	AL009126.3	yfnC		803317	804546	-1
1026	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU07330[gene]">BSU07330</a>	AL009126.3	yfnB		804657	805364	-1
1027	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU07340[gene]">BSU07340</a>	AL009126.3	yfnA		805456	806841	-1
1028	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU07350[gene]">BSU07350</a>	AL009126.3	yfmT		807091	808548	1
